ID;Street;AdmArea;District;SpeedLimit;TransportLimit;TimeLimit;RoadConditionsLimit;CommissioningDate;AreaCoordinates;global_id;geodata_center;geoarea
Код;Наименование улицы;Административный округ;Район;Скоростное ограничение;Ограничение по виду транспортного средства;Ограничение по времени;Ограничение по дорожным условиям;Дата ввода;Координаты участка;global_id;geodata_center;geoarea
1;Пехотная улица;Северо-Западный административный округ;район Щукино;40;нет;нет;нет;;"55.809358,37.483915; 55.810834,37.483796; 55.810893,37.4838; 55.81094,37.483846; 55.81098,37.483902; 55.810992,37.483987; 55.810993,37.48408";1133017485;;
2;улица Маршала Малиновского;Северо-Западный административный округ;район Щукино;40;нет;нет;нет;;"55.792569,37.492171; 55.79255,37.492213; 55.792506,37.492267; 55.792458,37.492309; 55.790685,37.49339";1133017486;;
3;Сосновая улица;Северо-Западный административный округ;район Щукино;40;нет;нет;нет;;"55.806967,37.484098; 55.806754,37.476463";1133017487;;
4;Митинская улица;Северо-Западный административный округ;район Митино;40;нет;нет;нет;;"55.846174,37.36025; 55.846356,37.359823";1133017488;;
6;Новопоселковая улица;Северо-Западный административный округ;район Южное Тушино;40;нет;нет;нет;;"55.837331,37.441815; 55.843242,37.443307";1133017490;;
7;улица Свободы;Северо-Западный административный округ;[район Северное Тушино, район Южное Тушино];40;нет;нет;нет;;"55.851954,37.451553; 55.847484,37.453094#55.847543,37.453699; 55.847592,37.454186; 55.847265,37.454325; 55.847225,37.454365; 55.847144,37.454332; 55.844577,37.455212";1133017491;;
8;Окружная улица;Северо-Западный административный округ;район Южное Тушино;40;нет;нет;нет;;"55.842686,37.403587; 55.842893,37.401277; 55.843011,37.400795; 55.843043,37.400644; 55.843082,37.400473; 55.843452,37.399554; 55.843552,37.399386; 55.843659,37.399271; 55.843775,37.399179; 55.844916,37.398894; 55.845053,37.398899; 55.845181,37.39895; 55.845349,37.399077; 55.846672,37.400258; 55.846704,37.400341; 55.846719,37.400448; 55.846721,37.400563; 55.846599,37.403779";1133017492;;
10;Светлогорский проезд;Северо-Западный административный округ;район Южное Тушино;40;нет;нет;нет;;"55.843922,37.403683; 55.845461,37.403977; 55.845723,37.40396; 55.846604,37.40387";1133017494;;
11;Нелидовская улица;Северо-Западный административный округ;район Южное Тушино;40;нет;нет;нет;;"55.846131,37.440984; 55.846059,37.441924; 55.846036,37.442047; 55.846001,37.442069; 55.845877,37.442111; 55.845856,37.442142; 55.845842,37.442181; 55.845829,37.442257; 55.845599,37.445706; 55.845609,37.44594; 55.845644,37.446085; 55.845728,37.446193; 55.845757,37.446268; 55.845793,37.446434; 55.845806,37.446523; 55.845829,37.446733";1133017495;;
12;Сходненский проезд;Северо-Западный административный округ;район Южное Тушино;40;нет;нет;нет;;"55.844741,37.439219; 55.844923,37.436548";1133017496;;
13;улица Бубнова;Северо-Западный административный округ;район Северное Тушино;40;нет;нет;нет;;"55.85581,37.438586; 55.856534,37.438214; 55.861689,37.43646";1133017497;;
14;бульвар Яна Райниса;Северо-Западный административный округ;район Северное Тушино;40;нет;нет;нет;;"55.851322,37.438608; 55.850565,37.431604";1133017498;;
15;Планерная улица;Северо-Западный административный округ;район Северное Тушино;40;нет;нет;нет;;"55.864188,37.436141; 55.865913,37.437318";1133017499;;
16;Лыковский проезд;Северо-Западный административный округ;район Строгино;40;нет;нет;нет;;"55.788963,37.399302; 55.788951,37.400147; 55.788919,37.400563; 55.788591,37.402825";1133017500;;
